,Group,Class,PC1,PC2
651,Spanish.HO,PCA,-67.5616283957197,-40.4724894789578
652,Spanish.HO,PCA,-47.61415748537,-32.3395338245203
653,Spanish.HO,PCA,-57.6364152099008,-37.3205857322944
654,Spanish.HO,PCA,-58.7629354011193,-30.884036361803
655,Spanish.HO,PCA,-63.003572403904,-30.540024823347
656,Spanish.HO,PCA,-50.1272027193161,-38.1514088284495
657,Spanish.HO,PCA,-52.4429665344525,-32.8277216579798
658,Spanish.HO,PCA,-45.6120614668034,-37.922141551616
659,Spanish.HO,PCA,-46.0589638010926,-34.5415766346661
660,Spanish.HO,PCA,-46.4648275151936,-43.2166460619753
661,Spanish.HO,PCA,-46.515640859451,-44.9176574056354
662,Spanish.HO,PCA,-57.6502206420706,-34.7609486508295
663,Spanish.HO,PCA,-28.5590653055582,-21.2374034113696
664,Finnish.HO,PCA,-139.6440406758,10.1346154516995
665,Finnish.HO,PCA,-128.868830756313,-9.4571155586523
666,Finnish.HO,PCA,-130.910539017959,-2.57391101277677
667,Finnish.HO,PCA,-121.413123593216,3.13702429104832
668,English.HO,PCA,-96.1842599661669,-9.09083784078472
669,Finnish.HO,PCA,-118.123870573992,18.1455999511767
670,English.HO,PCA,-113.253175997948,-20.4062240569357
671,Finnish.HO,PCA,-133.14160324475,2.30577594584908
672,Finnish.HO,PCA,-127.114840627021,9.57505230870408
673,Spanish.HO,PCA,-59.7834703980763,-38.1510414531524
674,Spanish.HO,PCA,-63.0969724357778,-44.1258037788879
675,Spanish.HO,PCA,-65.0478721077643,-46.3967747043406
676,Spanish.HO,PCA,-64.293982074663,-41.8887677542701
677,Spanish.HO,PCA,-70.0590661076147,-43.7157303624659
678,Spanish_North.HO,PCA,-90.1478581678252,-54.0439695691104
679,Spanish.HO,PCA,-60.5611476581552,-44.6229822896639
680,Spanish_North.HO,PCA,-87.2593679341549,-61.0400728340745
681,Spanish.HO,PCA,-74.6695338089215,-53.1545099472829
682,Spanish.HO,PCA,-65.5596108513148,-40.3667099474428
683,Spanish.HO,PCA,-51.6618656375796,-44.0567948430294
684,Spanish.HO,PCA,-54.5652529790259,-35.5818947455767
685,Spanish.HO,PCA,-42.3977624002503,-35.0016794637877
686,Spanish.HO,PCA,-57.4203621023769,-47.552226290185
687,Spanish.HO,PCA,-34.2903692534482,-35.3389609575457
688,Spanish.HO,PCA,-59.908357191415,-35.1094458906493
689,IBS_CanaryIslands.HO,PCA,-29.1734608570506,-87.5961557021927
690,IBS_CanaryIslands.HO,PCA,-21.7361917410149,-72.7938137602551
691,Spanish.HO,PCA,-63.1601043651207,-43.0719835084791
