Genetic_ID,Master_ID,Data_source,Group_ID,political_entity,epoch
ERS1790733_noUDG.SG,ERS1790733,Shotgun,Lebanon_MBA.SG,Lebanon,Chalcolithic (Copper Age) (C)
SI-38_noUDG.SG,SI-38,Shotgun,Lebanon_Medieval.SG,Lebanon,High Middle Ages (HMA)
SI-42_noUDG.SG,SI-42,Shotgun,Lebanon_Medieval.SG,Lebanon,High Middle Ages (HMA)
SI-45_noUDG.SG,SI-45,Shotgun,Lebanon_Medieval.SG,Lebanon,High Middle Ages (HMA)
QED-12_noUDG.SG,QED-12,Shotgun,Lebanon_Roman.SG,Lebanon,Classical Antiquity (CA)
QED-2_noUDG.SG,QED-2,Shotgun,Lebanon_Roman.SG,Lebanon,Classical Antiquity (CA)
QED-4_noUDG.SG,QED-4,Shotgun,Lebanon_Roman.SG,Lebanon,Early Middle Ages (EMA)
QED-7_noUDG.SG,QED-7,Shotgun,Lebanon_Roman.SG,Lebanon,Classical Antiquity (CA)
Turlojiske1,Turlojiske1,1240K,Lithuania_BA,Lithuania,Early Iron Age (EIA)
Turlojiske1932,Turlojiske1932,1240K,Lithuania_BA,Lithuania,Early Iron Age (EIA)
Turlojiske3,Turlojiske3,1240K,Lithuania_BA,Lithuania,Early Iron Age (EIA)
Turlojiske5,Turlojiske5,1240K,Lithuania_BA,Lithuania,Chalcolithic (Copper Age) (C)
R10840.SG,R10840,Shotgun,Lithuania_Bailuliai_BarrowCulture.SG,Lithuania,Classical Antiquity (CA)
Donkalnis6,Donkalnis6,1240K,Lithuania_EMN_Narva,Lithuania,Early Neolithic (EN)
Donkalnis7,Donkalnis7,1240K,Lithuania_EMN_Narva,Lithuania,Mesolithic
Kretuonas1,Kretuonas1,1240K,Lithuania_EMN_Narva,Lithuania,Early Neolithic (EN)
Kretuonas2,Kretuonas2,1240K,Lithuania_EMN_Narva,Lithuania,Early Neolithic (EN)
Kretuonas4,Kretuonas4,1240K,Lithuania_EMN_Narva,Lithuania,Early Neolithic (EN)
Spiginas1,Spiginas1,1240K,Lithuania_EMN_Narva,Lithuania,Early Neolithic (EN)
Kretuonas5,Kretuonas2,1240K,Lithuania_EMN_Narva_twin.Kretuonas2,Lithuania,Early Neolithic (EN)
DA171_noUDG.SG,DA171,Shotgun,Lithuania_Late_Antiquity.SG,Lithuania,Classical Antiquity (CA)
RISE598_noUDG.SG,RISE598,Shotgun,Lithuania_LBA.SG,Lithuania,Middle Iron Age (MIA)
Gyvakarai1_10bp_noUDG,Gyvakarai1_10bp,1240K,Lithuania_LN,Lithuania,Late Neolithic (LN)
Plinkaigalis241,Plinkaigalis241,1240K,Lithuania_LN,Lithuania,Late Neolithic (LN)
Plinkaigalis242,Plinkaigalis242,1240K,Lithuania_LN,Lithuania,Late Neolithic (LN)
R10830.SG,R10830,Shotgun,Lithuania_Marvele_Roman.SG,Lithuania,Classical Antiquity (CA)
R10832.SG,R10832,Shotgun,Lithuania_Marvele_Roman.SG,Lithuania,Classical Antiquity (CA)
R10836.SG,R10836,Shotgun,Lithuania_Marvele_Roman.SG,Lithuania,Classical Antiquity (CA)
R10838.SG,R10838,Shotgun,Lithuania_Marvele_Roman.SG,Lithuania,Classical Antiquity (CA)
Donkalnis4,Donkalnis4,1240K,Lithuania_Mesolithic,Lithuania,Mesolithic
Spiginas4,Spiginas4,1240K,Lithuania_Mesolithic,Lithuania,Mesolithic
I0001,I0001,390K,Luxembourg_Loschbour,Luxembourg,Mesolithic
Loschbour_snpAD.DG,I0001,Shotgun.diploid,Luxembourg_Loschbour.DG,Luxembourg,Mesolithic
Loschbour.DG,I0001,Shotgun.diploid,Luxembourg_Loschbour.DG,Luxembourg,Mesolithic
I7231,I7231,1240K,Macedonia_BA,North Macedonia,Chalcolithic (Copper Age) (C)
I10166,I10166,1240K,Macedonia_Classical_Hellenistic,North Macedonia,Late Iron Age (LIA)
I10167,I10167,1240K,Macedonia_Classical_Hellenistic,North Macedonia,Classical Antiquity (CA)
I10390,I10390,1240K,Macedonia_Classical_Hellenistic,North Macedonia,Late Iron Age (LIA)
I10391,I10391,1240K,Macedonia_Classical_Hellenistic,North Macedonia,Late Iron Age (LIA)
I10377,I10377,1240K,Macedonia_IA,North Macedonia,Middle Iron Age (MIA)
I10378,I10378,1240K,Macedonia_IA,North Macedonia,Middle Iron Age (MIA)
I10379,I10379,1240K,Macedonia_IA,North Macedonia,Middle Iron Age (MIA)
I10381,I10381,1240K,Macedonia_IA,North Macedonia,Middle Iron Age (MIA)
I10382,I10382,1240K,Macedonia_IA,North Macedonia,Middle Iron Age (MIA)
I10383,I10383,1240K,Macedonia_IA,North Macedonia,Middle Iron Age (MIA)
I10384,I10384,1240K,Macedonia_IA,North Macedonia,Middle Iron Age (MIA)
I10385,I10385,1240K,Macedonia_IA,North Macedonia,Middle Iron Age (MIA)
I10387,I10387,1240K,Macedonia_IA,North Macedonia,Middle Iron Age (MIA)
